question,label
What is the weekly trend for negative Bud Light mentions recently?,simple
What is the CPI from all the baskets?,simple
what is the volume of brand corona by areas in time period LP TY?,simple
Outline of all Steps of the Huddle,simple
Which are my top brands which have recorded the highest number of negative mentions for all zones?,simple
What is the Normalized EBITDA for Abinbev in 2022 and how much it has increased from 2021?,simple
What are my top Brand opportunities to improve Topline vs last month?,simple
Which are the top 3 performing zone in terms of volume growth in 2022 as per the financial report?,simple
What is the total volume sold by brand Amanda  in area 4 in time period LP TY?,simple
which are the key brands in core categories having positive growth rate in north america zone?,simple
what is the total revenue sold by brand Heineken in time period LP TY?,simple
What are the top hashtags associated with negative mentions for the same in Oct 2023 ?,simple
Which engagement types are most common for negative mentions for Bud Light in the US in 2023?,simple
What is the brand power for each brand in Mexico ?,simple
Who are the authors with the highest count of mentions about Bud Light with a negative sentiment in Dec 2023?,simple
What are my main customers with the biggest drop in volume from 2023 Q2 to Q3?,simple
What are the top brands with the highest total number of social mentions in 2023?,simple
Which social media platforms have the highest number of negative mentions for Bud Light in the US in 2023?,simple
Show me the distribution of certain brands,simple
What are the best selling brands in Core segment in August 2023 by total revenue in Mexico?,simple
How is the market share of beer?,simple
What was the increase in Net assets for Castle in 2022 as compared to 2021?,simple
What is its revenue ?,simple
Show me the sales in cans,simple
"what is the count,total amount,and percentage of total documents which were paid on time at a country level in 2023?",simple
How is the total beverage volume evolving?,simple
What is average arrival time for truck arrival process?,simple
What is the sentiment share of total mentions for Bud Light last month?,simple
How do I report any discrepancies found during the picking process?,simple
What should I do once I am finished with picking sheets at the warehouse?,simple
How is the performance of Classic lager segment in LP TY compared to LP YA?,complex
What are my top Brand opportunities to improve Topline vs last month?,complex
What are the reasons for negative sentiment around Bud Light mentions in the last month?,complex
what are the drivers for change in revenue for brand Corona in LP TY compared to LP YA?,complex
What are the drivers for negative sentiment of Bud Light in 2023 and how has it evolved over months In USA?,complex
How is the perception of brand Bud Light in the last month and how has it changed compared to previous month?,complex
What are the drivers for positive sentiment of Michelob Ultra in 2023 and how has it evolved over months in USA?,complex
Why did revenue of Abinbev beer brand Corona Extra go down from 2023 Q3 to 2023 Q4 in Mexico?,complex
Why is the sentiment share of Bud Light vs. Stella Artois in the US so different ?,complex
Analyze the performance of Abinbev Core segment in Mexico in 2023 Q3 compared to Q2 ?,complex
Explain in detail the performance of Modelo Especial brand in Aug 2023 compared to previous month?,complex
Explain in details how is the perception of Bud Light on Twitter in 2023 Dec and how has it changed from 2023 Nov in USA?,complex
How is the performance of the overall beer category in 2023 quarter 3 as compared to 2023 quarter 2?,complex
Explain in detail the performance of Abinbev beer brand Modelo Especial in Aug 2023 compared to July 2023 in Mexico?,complex
How is the performance of Corona compared to Heineken in time period LP TY?,complex
